Title,Year,Duration,MostLiked,Description,Director,FullCast,GenreFull,AboutFull,Age
Verses of Love 2,2017.0,126,0.0,"Now a lecturer in Edinburgh, Fahri tries to begin a new chapter as the love of his life, Aisha, volunteers in the Gaza Strip. Have they moved on?",['Guntur Soeharjanto'],"['Fedi Nuril,', 'Tatjana Saphira,', 'Dewi Sandra,', 'Chelsea Islan,', 'Nur Fazura,', 'Pandji Pragiwaksono,', 'Arie Untung,', 'Bront Palarae,', 'Dewi Irawan']","['Indonesian,', 'Movies Based on Books,', 'Dramas,', 'Romantic Movies']","['Cerebral,', 'Emotional,', 'Romantic']",13
A Very Special Love,2008.0,106,0.0,"After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned.",['Cathy Garcia-Molina'],"['John Lloyd Cruz,', 'Sarah Geronimo,', 'Dante Rivero,', 'Rowell Santiago,', 'Johnny Revilla,', 'Bing Pimental,', 'Daphne Oseña-Paez,', 'Al Tantay,', 'Irma Adlawan,', 'Arno Morales,', 'Miles Ocampo']","['Filipino,', 'Romantic Movies']","['Charming,', 'Romantic']",7
Vince and Kath and James,2016.0,114,0.0,"Love can be complicated, especially when Vince agrees to secretly woo Kath via text on behalf of James -- while falling for her, too.",['Theodore Boborol'],"['Julia Barretto,', 'Joshua Garcia,', 'Ronnie Alonte,', 'Maris Racal,', 'Ina Raymundo,', 'Shamaine Centenera,', 'Ana Abad Santos,', 'Jeric Raval,', 'Allan Paule,', 'Manuel Chua']","['Filipino,', 'Teen Movies,', 'Romantic Movies']","['Swoonworthy,', 'Emotional,', 'Romantic']",13
The Vow,2012.0,103,0.0,"When a recently married young woman awakens with amnesia following a car accident, her devoted husband must help her recover and win back her love.",['Michael Sucsy'],"['Rachel McAdams,', 'Channing Tatum,', 'Jessica Lange,', 'Sam Neill,', 'Jessica McNamee,', 'Wendy Crewson,', 'Tatiana Maslany,', 'Lucas Bryant,', 'Scott Speedman,', 'Jeananne Goossen']","['Dramas,', 'Romantic Movies']","['Sentimental,', 'Emotional,', 'Romantic']",13
Wake Up Sid,2009.0,132,0.0,"Freeloading off his wealthy parents, an unambitious brat is compelled to reevaluate his choices when a mature, goal-oriented woman enters his life.",['Ayan Mukherjee'],"['Ranbir Kapoor,', 'Konkona Sen Sharma,', 'Supriya Pathak,', 'Anupam Kher,', 'Rahul Khanna,', 'Namit Das,', 'Shikha Talsania,', 'Kashmira Shah,', 'Kainaz Motivala']","['Romantic Comedies,', 'Indian,', 'Hindi-Language Movies,', 'Bollywood Movies,', 'Comedies']","['Charming,', 'Feel-Good,', 'Romantic']",13
The Way of the World,2018.0,96,0.0,"A shy man connects with the woman of his dreams by pretending to share her interest in philophobia, the fear of falling in love.",['Ömer Can'],"['Murat Dalkılıç,', 'Melis Sezen,', 'Eren Hacısalihoğlu,', 'Serenay Aktaş,', 'Demet Gül,', 'Gökay Müftüoğlu']","['Turkish,', 'Romantic Comedies,', 'Comedies,', 'Romantic Movies']","['Feel-Good,', 'Romantic']",13
We Couldn't Become Adults,2021.0,124,0.0,"Prodded by a friend request, a feckless forty-something recalls his past relationships from the 90s onward, looking for his vanished hopes and dreams.",['Yoshihiro Mori'],"['Mirai Moriyama,', 'Sairi Ito,', 'Masahiro Higashide,', 'Sumire,', 'Atsushi Shinohara,', 'Takehiro Hira,', 'Moemi Katayama,', 'Masanobu Takashima,', 'LaSalle Ishii,', 'Yuko Oshima,', 'Masato Hagiwara']","['Japanese,', 'Movies Based on Books,', 'Dramas,', 'Romantic Movies']",['Romantic'],13
The Wedding Shaman,2019.0,111,0.0,"After a betrayal at work, a finance professional becomes an assistant to a bride shaman in order to salvage her only remaining property — and love life.",['Farishad I. Latjuba'],"['Atiqah Hasiholan,', 'Tutie Kirana,', 'Arifin Putra,', 'Tio Pakusadewo,', 'Marthino Lio,', 'Oxcel,', 'Dodit Mulyanto']","['Indonesian,', 'Dramas,', 'Romantic Movies']","['Heartfelt,', 'Emotional,', 'Romantic']",7
What's Your Raashee?,2009.0,202,0.0,"To protect his family from ruin, Yogesh must marry his dream girl in only ten days, so he rushes into dating women with different astrological signs.",['Ashutosh Gowariker'],"['Harman Baweja,', 'Priyanka Chopra Jonas,', 'Manju Singh,', 'Anjan Srivastav,', 'Darshan Jariwala,', 'Dilip Joshi,', 'Vishwa Badola,', 'Rajesh Vivek,', 'Daya Shankar Pandey,', 'Yuri Suri']","['Romantic Comedies,', 'Movies Based on Books,', 'Indian,', 'Hindi-Language Movies,', 'Bollywood Movies']",['Romantic'],13
When Love Happens,2014.0,109,0.0,"Fed up with coordinating weddings for everyone else, unlucky-in-love event planner Mo turns to the internet to see if she can find her own Mr. Right.",['Seyi Babatope'],"['Weruche Opia,', 'Gideon Okeke,', 'Beverly Naya,', 'OC Ukeje,', 'Shaffy Bello,', 'Oreka Godis']","['Nollywood,', 'African Movies,', 'Romantic Movies']",['Romantic'],13
Whipped,2020.0,97,0.0,Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.,['Chandra Liow'],"['Andovi da Lopez,', 'Jovial da Lopez,', 'Chandra Liow,', 'Tommy Limmm,', 'Susan Sameh,', 'Widika Sidmore,', 'Kezia Aletheia,', 'Karina Salim']","['Indonesian,', 'Romantic Comedies,', 'Comedies,', 'Romantic Movies']","['Campy,', 'Goofy,', 'Romantic']",13
Who's the Boss,2020.0,105,0.0,"A young, overworked ad executive with an overbearing boss starts her own side hustle and invents an employer once her business begins to flourish.",['Chinaza Onuzo'],"['Funke Akindele-Bello,', 'Blossom Chukwujekwu,', 'Sharon Ooja,', 'Ini Dima-Okojie,', 'Segun Arinze,', 'Bolly Lomo,', 'Beverly Osu,', 'Tayo Faniran']","['Romantic Comedies,', 'Nollywood,', 'African Movies,', 'Comedies,', 'Romantic Movies']",['Romantic'],13
Wish You,2021.0,101,0.0,"Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.",['Sung Do-jun'],"['Kang In-soo,', 'Lee Sang,', 'Soo-bin']","['Korean,', 'LGBTQ Movies,', 'Dramas,', 'Romantic Movies']","['Sentimental,', 'Romantic']",7
Without Saying Goodbye,2022.0,96,0.0,The opposite lives of a workaholic architect and a fiery artist are upended when their chance encounter in breathtaking Peru shifts their views on life.,['Bruno Ascenzo'],"['Maxi Iglesias,', 'Stephanie Cayo,', 'Wendy Ramos,', 'Vicente Vergara,', 'Renata Flores,', 'Anaí Padilla,', 'Carlos Carlín,', 'Mayella Lloclla,', 'Muki Sabogal,', 'Rodrigo Palacios']","['Peruvian,', 'Romantic Movies']",['Romantic'],13
World Famous Lover,2020.0,147,0.0,"When his frustrated girlfriend decides to leave him, a struggling writer gets down to work on stories of romance he hopes will win her back.",['Kranthi Madhav'],"['Raashi Khanna,', 'Vijay Deverakonda,', 'Izabelle Leite,', 'Catherine Tresa,', 'Aishwarya Rajesh']","['Indian,', 'Telugu-Language Movies,', 'Dramas,', 'Romantic Movies']","['Emotional,', 'Romantic']",16
You're My Boss,2015.0,116,0.0,"Pong, a corporate assistant, poses as his company’s president in order to help Georgina, a marketing executive, close a crucial business deal.",['Antoinette Jadaone'],"['Toni Gonzaga,', 'Coco Martin,', 'Freddie Webb,', 'JM de Guzman,', 'Gloria Sevilla,', 'Noel Trinidad,', 'Adam Chan,', 'Pepe Herrera,', 'Jerald Napoles']","['Filipino,', 'Romantic Comedies,', 'Comedies,', 'Romantic Movies']","['Swoonworthy,', 'Romantic']",13
Your Name Engraved Herein,2020.0,114,0.0,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",['Liu Kuang-hui'],"['Edward Chen,', 'Tseng Ching-hua,', 'Leon Dai,', 'Jason Wang,', 'Fabio Grangeon,', 'Mimi Shao,', 'Barry Qu,', 'Erek Lin,', 'Honduras,', 'Lotus Wang']","['Taiwanese,', 'LGBTQ Movies,', 'Chinese Movies,', 'Dramas,', 'Romantic Movies']","['Intimate,', 'Emotional']",16
The Zoya Factor,2019.0,135,0.0,"A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",['Abhishek Sharma'],"['Sonam Kapoor,', 'Dulquer Salmaan,', 'Sanjay Kapoor,', 'Sikander Kher,', 'Angad Bedi,', 'Koel Purie,', 'Pooja Bhamrah,', 'Manu Rishi Chadha']","['Romantic Comedies,', 'Movies Based on Books,', 'Indian,', 'Hindi-Language Movies,', 'Bollywood Movies']","['Emotional,', 'Exciting,', 'Romantic']",13
Life,2017.0,104,0.0,The discovery of a single-celled organism in a sample from Mars causes excitement ... until the life-form starts displaying signs of intelligence.,['Daniel Espinosa'],"['Jake Gyllenhaal,', 'Rebecca Ferguson,', 'Ryan Reynolds,', 'Hiroyuki Sanada,', 'Ariyon Bakare,', 'Olga Dykhovichnaya']","['Sci-Fi Movies,', 'Horror Movies']",['Suspenseful'],16
Bird Box,2018.0,124,0.0,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",['Susanne Bier'],"['Sandra Bullock,', 'Trevante Rhodes,', 'John Malkovich,', 'Sarah Paulson,', 'BD Wong,', 'Jacki Weaver,', 'Rosa Salazar,', 'Danielle Macdonald,', 'Lil Rel Howery,', 'Tom Hollander']","['Sci-Fi Movies,', 'Movies Based on Books,', 'Dramas,', 'Thriller Movies']","['Chilling,', 'Ominous']",16
I Am Mother,2019.0,113,0.0,"Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human.",['Grant Sputore'],"['Clara Rugaard,', 'Rose Byrne,', 'Hilary Swank,', 'Luke Hawker']","['Australian,', 'Sci-Fi Movies,', 'Thriller Movies']","['Ominous,', 'Suspenseful']",13
Spiderhead,2022.0,107,0.0,A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.,['Joseph Kosinski'],"['Chris Hemsworth,', 'Miles Teller,', 'Jurnee Smollett,', 'Mark Paguio,', 'Tess Haubrich,', 'Angie Milliken,', 'Stephen Tongun']","['Sci-Fi Movies,', 'Movies Based on Books,', 'Thriller Movies']",['Offbeat'],16
